"outcome","treatment"
-1.31411466871166,0
-0.902321958060324,0
0.295620472925387,1
1.00689879132315,1
-0.378222144504075,0
-0.75257915418711,0
-0.75257915418711,1
-0.00386513482104053,0
0.96946309035485,1
-0.378222144504075,0
-1.38898607064827,1
-1.23924326677506,1
1.38125580100619,0
-1.42642177161657,0
-0.116172237725951,1
-1.61360027645809,1
-0.116172237725951,1
0.333056173893691,0
-0.453093546440682,0
-0.902321958060324,1
0.932027389386547,1
2.12996982037226,1
-1.61360027645809,1
0.744848884545029,1
0.295620472925387,1
-1.46385747258488,1
1.86791991359413,1
0.0710062671155664,1
0.819720286481636,1
0.445363276798601,0
-1.16437186483845,0
1.75561281068922,1
-0.677707752250503,1
0.96946309035485,1
-1.23924326677506,1
0.894591688418243,1
0.258184771957084,1
-1.61360027645809,1
-1.61360027645809,1
2.12996982037226,1
-0.490529247408986,1
0.258184771957084,1
2.12996982037226,0
0.258184771957084,1
-0.0787365367576475,1
-0.790014855155414,1
0.258184771957084,0
-0.303350742567468,0
-0.191043639662558,1
-0.00386513482104053,0
-1.05206476193354,0
-0.827450556123717,1
-0.790014855155414,1
-0.340786443535772,1
0.632541781640119,1
0.333056173893691,0
-1.23924326677506,0
-0.340786443535772,0
-0.677707752250503,1
-0.116172237725951,0
0.033570566147263,0
-0.527964948377289,1
0.295620472925387,0
-0.902321958060324,0
0.258184771957084,1
-0.527964948377289,1
-0.116172237725951,0
1.19407729616467,1
0.258184771957084,1
-1.61360027645809,0
1.11920589422806,0
-1.61360027645809,0
1.23151299713297,0
0.0710062671155664,0
0.85715598744994,0
-1.42642177161657,0
-1.27667896774336,0
-0.303350742567468,1
-0.265915041599165,1
1.5309986048794,0
-0.228479340630861,0
0.445363276798601,1
1.75561281068922,0
0.632541781640119,0
1.08177019325976,1
1.00689879132315,1
-1.61360027645809,1
0.744848884545029,1
-1.23924326677506,0
-0.116172237725951,1
1.4935629039111,1
-1.23924326677506,1
-0.902321958060324,0
1.00689879132315,1
-0.864886257092021,1
0.258184771957084,0
0.85715598744994,0
0.258184771957084,0
1.23151299713297,1
-0.902321958060324,0
-0.864886257092021,0
1.34382010003788,1
-0.565400649345593,0
2.12996982037226,1
-0.527964948377289,1
-1.23924326677506,0
-1.42642177161657,1
-0.490529247408986,1
-0.228479340630861,0
-1.61360027645809,1
0.0710062671155664,0
-0.00386513482104053,0
-1.61360027645809,0
-1.12693616387015,0
1.38125580100619,1
-0.490529247408986,0
1.79304851165753,0
0.295620472925387,1
0.258184771957084,0
-0.116172237725951,1
0.333056173893691,0
0.894591688418243,1
-0.565400649345593,0
0.258184771957084,0
0.445363276798601,0
-0.565400649345593,0
0.333056173893691,1
-0.677707752250503,0
0.0710062671155664,0
0.445363276798601,1
-1.05206476193354,1
0.894591688418243,1
0.520234678735208,1
0.295620472925387,1
0.295620472925387,1
1.19407729616467,1
1.19407729616467,1
-1.61360027645809,1
1.19407729616467,1
-0.6402720512822,1
-1.61360027645809,0
0.258184771957084,0
0.782284585513333,1
0.295620472925387,0
0.707413183576726,0
0.033570566147263,0
1.41869150197449,0
-0.565400649345593,1
-1.61360027645809,0
0.033570566147263,1
1.00689879132315,1
-1.01462906096523,0
-0.864886257092021,0
1.56843430584771,1
-1.08950046290184,1
0.520234678735208,0
-1.23924326677506,1
0.258184771957084,0
-0.116172237725951,1
-0.303350742567468,0
-1.23924326677506,1
0.445363276798601,1
0.632541781640119,0
0.445363276798601,1
0.258184771957084,0
-0.902321958060324,1
0.632541781640119,1
1.11920589422806,1
0.295620472925387,1
-0.864886257092021,0
-0.116172237725951,0
-1.05206476193354,0
-1.23924326677506,0
-0.939757659028628,1
0.258184771957084,0
-0.191043639662558,0
-0.490529247408986,1
1.83048421262583,0
0.632541781640119,1
1.4561272029428,1
-0.191043639662558,0
-0.6402720512822,0
-0.116172237725951,1
1.75561281068922,1
0.520234678735208,0
-0.827450556123717,0
0.707413183576726,1
0.258184771957084,0
1.75561281068922,1
-0.939757659028628,1
0.258184771957084,1
-0.677707752250503,0
1.41869150197449,0
-0.677707752250503,1
-0.116172237725951,1
1.83048421262583,1
0.819720286481636,1
1.19407729616467,0
-0.303350742567468,0
-1.61360027645809,0
2.12996982037226,0
-0.453093546440682,1
-0.864886257092021,1
0.782284585513333,0
-1.61360027645809,0
0.0710062671155664,1
0.22074907098878,0
0.819720286481636,0
0.707413183576726,1
1.30638439906958,1
-0.827450556123717,1
0.333056173893691,0
0.85715598744994,1
-0.00386513482104053,0
0.96946309035485,0
-0.939757659028628,0
0.258184771957084,1
-1.23924326677506,0
-0.116172237725951,0
0.0710062671155664,0
-0.303350742567468,1
-0.715143453218807,1
-0.864886257092021,1
0.669977482608422,0
-1.35155036967997,0
1.19407729616467,0
-0.490529247408986,1
-0.00386513482104053,0
0.258184771957084,1
-1.12693616387015,1
-0.490529247408986,0
-0.0787365367576475,0
1.41869150197449,1
-0.864886257092021,1
1.38125580100619,1
-0.340786443535772,0
0.333056173893691,0
2.12996982037226,1
-0.490529247408986,0
-0.116172237725951,1
-0.041300835789344,0
-0.153607938694254,1
0.295620472925387,1
-0.116172237725951,1
1.41869150197449,0
0.632541781640119,0
1.5309986048794,0
0.819720286481636,1
-1.23924326677506,1
1.98022701649904,0
1.34382010003788,1
-0.0787365367576475,1
1.83048421262583,1
0.744848884545029,1
-0.378222144504075,0
-0.490529247408986,1
-0.303350742567468,1
-1.61360027645809,0
1.19407729616467,1
-0.490529247408986,1
-1.61360027645809,1
1.41869150197449,0
1.15664159519637,1
2.12996982037226,0
-0.864886257092021,1
0.22074907098878,0
0.258184771957084,0
-0.116172237725951,0
0.033570566147263,0
-0.902321958060324,1
0.632541781640119,1
1.15664159519637,0
-1.01462906096523,0
0.894591688418243,0
0.0710062671155664,0
-0.0787365367576475,0
-0.902321958060324,0
-0.303350742567468,1
0.258184771957084,0
-1.42642177161657,1
-0.415657845472379,0
0.782284585513333,1
0.295620472925387,1
0.407927575830298,0
0.295620472925387,1
1.19407729616467,1
-1.53872887452148,1
-1.38898607064827,0
-0.153607938694254,0
-0.490529247408986,0
1.56843430584771,0
0.295620472925387,1
-0.116172237725951,0
-0.116172237725951,1
0.707413183576726,1
0.744848884545029,1
1.64330570778431,0
1.68074140875262,1
0.295620472925387,1
0.0710062671155664,1
0.595106080671815,1
1.11920589422806,0
1.38125580100619,1
1.75561281068922,1
1.60587000681601,1
1.04433449229146,0
-0.116172237725951,0
-0.977193359996931,1
1.11920589422806,1
1.00689879132315,1
0.85715598744994,0
-1.23924326677506,1
1.00689879132315,1
-1.61360027645809,1
-1.05206476193354,1
-1.42642177161657,1
-0.116172237725951,1
-0.677707752250503,1
-0.303350742567468,1
1.00689879132315,1
2.05509841843565,0
0.295620472925387,1
-1.27667896774336,0
-0.116172237725951,0
-0.415657845472379,0
1.00689879132315,1
-0.864886257092021,1
-0.677707752250503,0
0.482798977766905,1
0.819720286481636,1
-0.415657845472379,1
2.12996982037226,1
0.183313370020477,1
0.295620472925387,1
-1.61360027645809,0
1.00689879132315,0
0.669977482608422,1
0.632541781640119,1
1.00689879132315,1
0.632541781640119,1
0.0710062671155664,0
-1.23924326677506,1
1.38125580100619,0
2.12996982037226,1
1.38125580100619,0
-0.939757659028628,1
1.00689879132315,1
0.0710062671155664,1
0.819720286481636,0
-0.116172237725951,1
-1.23924326677506,0
-0.939757659028628,1
-1.38898607064827,0
2.12996982037226,1
0.632541781640119,0
0.258184771957084,0
1.00689879132315,1
1.15664159519637,0
1.00689879132315,1
0.557670379703512,1
-0.303350742567468,1
-1.01462906096523,0
-0.490529247408986,0
0.632541781640119,1
-0.116172237725951,0
0.707413183576726,0
0.632541781640119,0
1.75561281068922,0
-0.490529247408986,1
0.894591688418243,1
-1.05206476193354,0
-0.453093546440682,1
0.445363276798601,0
-1.35155036967997,1
1.64330570778431,1
-0.191043639662558,0
-1.42642177161657,0
0.520234678735208,1
2.12996982037226,1
-0.490529247408986,0
0.632541781640119,0
1.19407729616467,1
0.295620472925387,1
1.38125580100619,1
-0.864886257092021,1
1.19407729616467,1
0.258184771957084,1
2.12996982037226,0
-0.490529247408986,0
1.56843430584771,1
1.68074140875262,0
0.033570566147263,0
0.520234678735208,0
0.632541781640119,1
1.71817710972092,0
0.258184771957084,0
0.258184771957084,0
2.05509841843565,0
-0.153607938694254,0
-0.303350742567468,0
-0.902321958060324,0
1.38125580100619,1
0.295620472925387,0
1.15664159519637,0
-0.116172237725951,1
-0.677707752250503,1
1.08177019325976,0
0.632541781640119,1
1.41869150197449,1
0.258184771957084,0
1.00689879132315,0
0.333056173893691,0
-1.61360027645809,1
-1.61360027645809,1
2.12996982037226,1
0.632541781640119,1
1.26894869810128,1
1.41869150197449,1
1.94279131553074,1
1.26894869810128,0
1.34382010003788,1
1.68074140875262,0
0.632541781640119,0
-1.31411466871166,0
0.0710062671155664,0
1.41869150197449,1
1.90535561456244,1
1.00689879132315,1
0.258184771957084,1
-1.61360027645809,0
-0.415657845472379,1
0.819720286481636,1
-0.490529247408986,0
0.033570566147263,1
1.38125580100619,1
-0.340786443535772,1
1.26894869810128,1
1.04433449229146,1
-0.116172237725951,0
1.26894869810128,1
-0.6402720512822,1
-0.490529247408986,1
-0.864886257092021,0
-1.42642177161657,0
0.183313370020477,1
-1.23924326677506,0
0.669977482608422,1
1.11920589422806,0
2.12996982037226,1
1.41869150197449,1
0.0710062671155664,0
0.258184771957084,0
0.295620472925387,1
1.38125580100619,0
-0.490529247408986,0
-0.864886257092021,0
0.0710062671155664,0
-0.715143453218807,1
0.819720286481636,1
0.520234678735208,1
0.258184771957084,1
2.12996982037226,0
-1.42642177161657,0
0.445363276798601,1
-0.864886257092021,1
0.295620472925387,0
-0.75257915418711,0
0.333056173893691,0
1.75561281068922,1
